('01001211', 'Paradigm in Agricultural Extension')
('01001312', 'Agri.Policy for Agri.Extension & Development')
('01001314', 'Know.Manag.in Agri.Exten.& Development')
('01001316', "Net.Ag.De.Fo.His Majes.the King's The.De.Con.")
('01001317', 'Kings & State Leaders on Agri.Sector Develop.')
('01001321', 'Target Personnal Development in Extension')
('01001322', 'Entension Project Manag.for Agro.Develop.')
('01001324', 'Human Resource Compet.Develop.in Agri.Sector')
('01001326', 'Community Econ.for Agri.Extension & Develop.')
('01001331', 'Communication for Agricultural Development')
('01001333', 'Multimedia Design & Develop.for Agri.Exten.')
('01001334', 'Graphic Design for Agricultural Extension')
('01001432', 'Radio Program Product.Agri.Exten.Develop.')
('01001435', 'Media Utilization Technique for Agri.Pressen.')
('01001497', 'Seminar')
('01001498', 'Special Problems')
('01001514', 'Participatory Development in Extension')
('01001515', 'Agricultural Intellectual for Extension')
('01001516', 'Psychology in Agricultural Extension')
('01001532', 'Agricultural Economics for Extension')
('01001533', 'Agribusiness Management in Extension')
('01001534', 'Value-added in Agricultural Resources')
('01001551', 'Communication & Agri. Information Technology')
('01001556', 'Diffusion of Innovation & Agricultural Tech.')
('01001592', 'Statistics in Agricultural Extension Research')
('01001593', 'Qualitative Research Methods in Agri. Ext.')
('01001595', 'Independent Study')
('01001597', 'Seminar')
('01001599', 'Thesis')
('01002111', 'Animal Science & Technology')
('01002321', 'Animal Nutrition')
('01002331', 'Animal Breeding')
('01002341', 'Anatomy of Domestic Animals')
('01002351', 'Principles of Animal Hygiene & Sanitation')
('01002399', 'Specific Practicum')
('01002415', 'Equine Husbandry')
('01002416', 'Incubation & Hatchery Management')
('01002421', 'Applied Animal Nutrition')
('01002441', 'Artificial Insemination')
('01002472', 'Molecular Biology in Animal Science')
('01002498', 'Special Problems')
('01002511', 'Cellular Metabolism in Animal Production')
('01002514', 'Industrial Swine Production')
('01002521', 'Non-ruminant Nutrition')
('01002522', 'Ruminant Nutrition')
('01002523', 'Comparative Animal Nutrition')
('01002525', 'Feed Evaluation')
('01002526', 'Applied Animal Nutrition in Digestive System')
('01002532', 'Statistical Genetics')
('01002535', 'Dairy Breeding System')
('01002538', 'Molecular Biology in Animal Breeding')
('01002544', 'Animal Growth & Development')
('01002547', 'Current Topics in Animal Physiology')
('01002561', 'Advanced Meat Science')
('01002591', 'Research Techniques in Animal Science')
('01002596', 'Selected Topics in Animal Science')
('01002597', 'Seminar')
('01002598', 'Special Problems')
('01002599', 'Thesis')
('01002622', 'Nutritional Energetics')
('01002631', 'Advanced Animal Breeding')
('01002642', 'Livestock Fertil Improve Tropics')
('01002691', 'Advan.Research Techniques in Animal Science')
('01002692', 'Analytical Research in Animal Nutrition')
('01002697', 'Seminar')
('01002698', 'Special Problems')
('01002699', 'Thesis')
('01003111', 'Principles of Field Crop Science')
('01003112', 'Laboratory in Field Crop Science')
('01003211', 'Economic Field Crops')
('01003212', 'Laboratory in Economic Field Crops')
('01003399', 'Specific Practicum')
('01003412', 'Forage Crops')
('01003418', 'Herbicides & Their Application')
('01003421', 'Physical Environment for Crop')
('01003423', 'Water Management for Field Crops')
('01003425', 'Science & Technology of Food Crop Production')
('01003427', 'Science & Tech.of Industrial Crop Product.')
('01003451', 'Physiology of Field Crop Production')
('01003461', 'Agricultural System')
('01003471', 'Principles of Plant Breeding')
('01003481', 'Seed Technology of Field Crop')
('01003492', 'Computer Applications in Agronomy Research')
('01003498', 'Special Problems')
('01003511', 'Advanced Forage Crops')
('01003512', 'Production of Industrial Field Crops')
('01003522', 'Crop Adaptation')
('01003551', 'Advanced Physiology of Crop Production')
('01003552', 'Plant Nutrition in Field Crops')
